model_id,scenario_id,samples,mse,mae,rmse,mape,accuracy,precision,recall,f1,mcc,incumbent_mae,mae_ratio_vs_incumbent
naive,normal_unperturbed,4500,0.002138818262352456,0.03225467721512541,0.04624735951762496,0.9746666666666667,0.438,0.438,1.0,0.6091794158553547,0.0,0.03162162511826182,1.020019594011884
naive,negative_return_tail_q10,255,0.011553760327256229,0.09850049693794811,0.10748841950301544,1.0,0.0,0.0,0.0,0.0,0.0,0.09123649389757267,1.0796172970930955
naive,positive_return_tail_q90,225,0.014405817647944023,0.11260728945334753,0.12002423775198084,1.0,1.0,1.0,1.0,1.0,0.0,0.11936136710772852,0.9434148768731414
naive,low_liquidity_q10,270,0.004946033685325806,0.04543579750332154,0.07032804337762999,0.9777777777777777,0.4111111111111111,0.4111111111111111,1.0,0.5826771653543308,0.0,0.045648255949728815,0.995345748879404
naive,four_week_drawdown_q10,279,0.005471249991754687,0.05241782230172326,0.07396789838676429,0.978494623655914,0.3978494623655914,0.3978494623655914,1.0,0.5692307692307692,0.0,0.053025689371220416,0.9885363664913129
naive,feature_noise_sigma_005,4500,0.002138818262352456,0.03225467721512541,0.04624735951762496,0.9746666666666667,0.438,0.438,1.0,0.6091794158553547,0.0,0.031636002855158885,1.0195560217515165
naive,node_mask_10pct,4500,0.002138818262352456,0.03225467721512541,0.04624735951762496,0.9746666666666667,0.438,0.438,1.0,0.6091794158553547,0.0,0.03167606321555868,1.0182666007334689
naive,latest_week_feature_mask,4500,0.002138818262352456,0.03225467721512541,0.04624735951762496,0.9746666666666667,0.438,0.438,1.0,0.6091794158553547,0.0,0.03190123599870788,1.011079232680259
frets_return_l4__fixed_shrink_a075,normal_unperturbed,4500,0.002114693771482544,0.03190716577940232,0.04598579967210034,44.19632560703892,0.5493333333333333,0.4770716009654063,0.3008625063419584,0.36901057871810833,0.048649981435484164,0.03162162511826182,1.0090299173452537
frets_return_l4__fixed_shrink_a075,negative_return_tail_q10,255,0.010906538040116404,0.09506297530104205,0.10443437192857725,0.9614869051367203,0.796078431372549,0.0,0.0,0.0,0.0,0.09123649389757267,1.0419402504415087
frets_return_l4__fixed_shrink_a075,positive_return_tail_q90,225,0.014951362665479478,0.11498570040023576,0.12227576483293603,1.0242327217098286,0.29777777777777775,1.0,0.29777777777777775,0.4589041095890411,0.0,0.11936136710772852,0.9633410138177829
frets_return_l4__fixed_shrink_a075,low_liquidity_q10,270,0.004874480878698901,0.045046541520450435,0.069817482615022,33.233696578884,0.5407407407407407,0.4,0.23423423423423423,0.29545454545454547,-0.012715719846895653,0.045648255949728815,0.9868184574249446
frets_return_l4__fixed_shrink_a075,four_week_drawdown_q10,279,0.005400898451389271,0.05198590280375474,0.07349080521663422,35.03542328554562,0.5698924731182796,0.45054945054945056,0.36936936936936937,0.40594059405940597,0.07491009750886156,0.053025689371220416,0.9803908901554041
frets_return_l4__fixed_shrink_a075,feature_noise_sigma_005,4500,0.0021148266365110637,0.03190711632688504,0.04598724428046394,44.54272002033859,0.5508888888888889,0.4795417348608838,0.29731100963977675,0.3670529282806138,0.051122318865514015,0.031636002855158885,1.008569776433749
frets_return_l4__fixed_shrink_a075,node_mask_10pct,4500,0.0021192798254962013,0.03197064066453216,0.046035636473238876,44.232357404066626,0.5391111111111111,0.4611906556141673,0.3105022831050228,0.37113402061855666,0.03022791824389646,0.03167606321555868,1.0092996862321195
frets_return_l4__fixed_shrink_a075,latest_week_feature_mask,4500,0.0021258131970905863,0.03203908933424908,0.04610654180363765,42.700115562103974,0.5306666666666666,0.45252525252525255,0.3409436834094368,0.3888888888888889,0.02054650920270042,0.03190123599870788,1.0043212537453654
stock_node_gwnet_fixed_industry_l8,normal_unperturbed,4500,0.002134538678659518,0.03162162511826182,0.04620106793851759,81.20508159337535,0.5653333333333334,0.5103734439834025,0.1872146118721461,0.2739420935412027,0.06382189318560631,0.03162162511826182,1.0
stock_node_gwnet_fixed_industry_l8,negative_return_tail_q10,255,0.010460871101832058,0.09123649389757267,0.1022783999768869,0.9111620860176606,0.8862745098039215,0.0,0.0,0.0,0.0,0.09123649389757267,1.0
stock_node_gwnet_fixed_industry_l8,positive_return_tail_q90,225,0.016025005285170507,0.11936136710772852,0.12658990988688834,1.0661669563199963,0.13333333333333333,1.0,0.13333333333333333,0.23529411764705882,0.0,0.11936136710772852,1.0
stock_node_gwnet_fixed_industry_l8,low_liquidity_q10,270,0.005230399099956198,0.045648255949728815,0.07232149818661252,48.4932394555406,0.4777777777777778,0.3972602739726027,0.5225225225225225,0.4513618677042801,-0.030545365112747677,0.045648255949728815,1.0
stock_node_gwnet_fixed_industry_l8,four_week_drawdown_q10,279,0.005635166040445763,0.053025689371220416,0.07506774300887008,121.91935481335935,0.4946236559139785,0.2222222222222222,0.10810810810810811,0.14545454545454545,-0.17578652081687293,0.053025689371220416,1.0
stock_node_gwnet_fixed_industry_l8,feature_noise_sigma_005,4500,0.0021353672956012223,0.031636002855158885,0.04621003457693169,83.60425913601885,0.5628888888888889,0.5027855153203342,0.18315575849822424,0.26850130159910746,0.056895008210957096,0.031636002855158885,1.0
stock_node_gwnet_fixed_industry_l8,node_mask_10pct,4500,0.0021390762631082485,0.03167606321555868,0.046250148790120106,80.02152023591013,0.5633333333333334,0.5043227665706052,0.17757483510908167,0.26266416510318946,0.057082470932539445,0.03167606321555868,1.0
stock_node_gwnet_fixed_industry_l8,latest_week_feature_mask,4500,0.0021216064225580587,0.03190123599870788,0.04606089906371844,60.93699820664274,0.5626666666666666,0.5034965034965035,0.1095890410958904,0.18,0.04285396374401573,0.03190123599870788,1.0
stock_node_gwnet_tail_weighted_l8,normal_unperturbed,4500,0.0021499273487062044,0.03185040629937589,0.04636730905181154,78.24492081808845,0.564,0.5030020013342228,0.38254693049213595,0.4345821325648415,0.09259538332956818,0.03162162511826182,1.0072349596283698
stock_node_gwnet_tail_weighted_l8,negative_return_tail_q10,255,0.010720089306430643,0.09248580193146526,0.10353786411951255,0.9254152644724981,0.788235294117647,0.0,0.0,0.0,0.0,0.09123649389757267,1.0136930736871053
stock_node_gwnet_tail_weighted_l8,positive_return_tail_q90,225,0.01576582359201513,0.11817267511845005,0.12556203085334008,1.0543668365603536,0.24,1.0,0.24,0.3870967741935484,0.0,0.11936136710772852,0.990041233457006
stock_node_gwnet_tail_weighted_l8,low_liquidity_q10,270,0.005296171515997551,0.04607949478698398,0.07277480000657886,69.1137693645407,0.4888888888888889,0.423728813559322,0.6756756756756757,0.5208333333333334,0.03537766401878774,0.045648255949728815,1.0094469948146556
stock_node_gwnet_tail_weighted_l8,four_week_drawdown_q10,279,0.005731204096831506,0.05353472958468291,0.07570471647679229,73.92402935947715,0.44802867383512546,0.2912621359223301,0.2702702702702703,0.2803738317757009,-0.1665926821041977,0.053025689371220416,1.0095998792188976
stock_node_gwnet_tail_weighted_l8,feature_noise_sigma_005,4500,0.0021510171341507347,0.031865379081919096,0.046379059220199095,80.12723175653396,0.5615555555555556,0.4993342210386152,0.380517503805175,0.4319032536711776,0.08750176092075146,0.031636002855158885,1.007250480656813
stock_node_gwnet_tail_weighted_l8,node_mask_10pct,4500,0.002154676022396833,0.031907070022816106,0.0464184879374246,74.86087782938294,0.5628888888888889,0.50132802124834,0.3830542871638762,0.4342824273799252,0.0905268258926327,0.03167606321555868,1.0072927877964317
stock_node_gwnet_tail_weighted_l8,latest_week_feature_mask,4500,0.0021383635005942586,0.03214285007502289,0.04624244263222109,43.34718936928213,0.5346666666666666,0.46220036877688997,0.3815322171486555,0.41801000555864365,0.03670647957772847,0.03190123599870788,1.0075738155200256
stock_node_gwnet_noise_aug_l8,normal_unperturbed,4500,0.0021362013760635873,0.0316196152924787,0.04621905858045561,86.94101673749404,0.5653333333333334,0.5103448275862069,0.18772196854388634,0.2744807121661721,0.06390175682807207,0.03162162511826182,0.9999364414138867
stock_node_gwnet_noise_aug_l8,negative_return_tail_q10,255,0.010405184872584712,0.09089118797860322,0.10200580803358558,0.9070938589790948,0.8901960784313725,0.0,0.0,0.0,0.0,0.09123649389757267,0.9962152653590886
stock_node_gwnet_noise_aug_l8,positive_return_tail_q90,225,0.016100046373530547,0.1196251175504258,0.1268859581416736,1.068409295539829,0.1288888888888889,1.0,0.1288888888888889,0.2283464566929134,0.0,0.11936136710772852,1.002209680142648
