model_id,samples,mse,mae,rmse,mape,accuracy,precision,recall,f1,mcc
frets_return_l4__fixed_shrink_a075,4500,0.002114693771482542,0.03190716577940229,0.04598579967210032,44.19632560703781,0.5493333333333333,0.4770716009654063,0.3008625063419584,0.36901057871810833,0.048649981435484164
naive,4500,0.002138818262352453,0.032254677215125364,0.046247359517624924,0.9746666666666667,0.438,0.438,1.0,0.6091794158553547,0.0
stock_node_gwnet_feature_mask_l8,4500,0.002137511880908871,0.031627103878754254,0.046233233511283535,88.14640789679322,0.5664444444444444,0.5129533678756477,0.2009132420091324,0.2887349617207437,0.06874745684115198
stock_node_gwnet_fixed_industry_l8,4500,0.0021345386779173443,0.03162162510344444,0.04620106793048559,81.20508223716197,0.5653333333333334,0.5103734439834025,0.1872146118721461,0.2739420935412027,0.06382189318560631
stock_node_gwnet_noise_aug_l8,4500,0.0021362013758504136,0.031619615283691185,0.04621905857814949,86.94101709052778,0.5653333333333334,0.5103448275862069,0.18772196854388634,0.2744807121661721,0.06390175682807207
stock_node_gwnet_tail_weighted_l8,4500,0.0021499273483047347,0.03185040629223089,0.046367309047482305,78.24492087401211,0.564,0.5030020013342228,0.38254693049213595,0.4345821325648415,0.09259538332956818
