scored_rows,accuracy,balanced_accuracy,mcc,macro_precision,macro_recall,macro_f1,ordinal_mae,confusion_matrix,precision_down,recall_down,f1_down,precision_neutral,recall_neutral,f1_neutral,precision_up,recall_up,f1_up,brier,multiclass_log_loss,ece_10bin,mean_confidence,mean_entropy,predicted_prevalence_down,predicted_prevalence_neutral,predicted_prevalence_up,observed_prevalence_down,observed_prevalence_neutral,observed_prevalence_up,key_coverage,valid_target_coverage,max_probability_sum_error,qualified_weeks,mean_weekly_spearman_ic,median_weekly_spearman_ic,ic_standard_deviation,icir_annualized,positive_ic_week_rate,mean_top_bottom_decile_h4_spread,positive_top_bottom_week_rate,minimum_universe_compliance,model_id,fold_id
5859,0.4782386072708653,0.35655737227637446,0.05774295257536318,0.3182268073487619,0.35655737227637446,0.33507293825251666,0.9382147124082608,"[[1587, 0, 1023], [268, 0, 349], [1417, 0, 1215]]",0.4850244498777506,0.6080459770114942,0.5396123767426045,0.0,0.0,0.0,0.469655972168535,0.4616261398176292,0.4656064380149454,0.588357019125066,0.9591436999098336,0.013702249008714225,0.4884065651351245,0.9807681885627778,0.5584570745861068,0.0,0.4415429254138932,0.445468509984639,0.10530807305000853,0.44922341696535245,1.0,0.9451524439425714,0.0,19,0.10901639979068381,0.12202778918358537,0.12237921400248884,6.4237088383947025,0.8421052631578947,0.023471570463932615,0.631578947368421,1.0,INCUMBENT_ORDINAL_T2_DEV,REV2_RO_01
5540,0.4796028880866426,0.35813052639106546,0.06098925445557622,0.32027342189834723,0.35813052639106546,0.33801699723451556,0.9335740072202167,"[[1318, 0, 1140], [178, 0, 416], [1149, 0, 1339]]",0.49829867674858225,0.5362082994304312,0.5165588869292573,0.0,0.0,0.0,0.4625215889464594,0.5381832797427653,0.49749210477428946,0.5900171637882207,0.9616718769830506,0.018677683824244,0.4835542146377468,0.9820086976470558,0.47743682310469315,0.0,0.5225631768953068,0.44368231046931406,0.10722021660649819,0.4490974729241877,1.0,0.8974566661266807,0.0,18,0.09458169578925725,0.07738676291382016,0.14614719993561245,4.666790113512199,0.7222222222222222,0.003302270460018066,0.5555555555555556,1.0,INCUMBENT_ORDINAL_T2_DEV,REV2_RO_02
5511,0.48285247686445293,0.36341069925709696,0.07342691820814393,0.3215904474167239,0.36341069925709696,0.3407758999756014,0.9203411359099982,"[[1441, 0, 992], [275, 0, 353], [1230, 0, 1220]]",0.4891378139850645,0.5922729140978216,0.5357873210633947,0.0,0.0,0.0,0.4756335282651072,0.49795918367346936,0.48654037886340973,0.5904050351580982,0.9648113652757755,0.006493444042696601,0.4773747789811897,0.9796709713457297,0.5345672291780076,0.0,0.46543277082199236,0.44148067501360916,0.11395391036109599,0.44456541462529486,1.0,0.8985814446437307,0.0,18,0.13079106050359568,0.11137166022341907,0.11000145863421286,8.57395676153984,0.8888888888888888,0.02999435979658179,0.7222222222222222,1.0,INCUMBENT_ORDINAL_T2_DEV,REV2_RO_03
5476,0.49159970781592405,0.3637105917384588,0.08145896202400395,0.3300477231530594,0.3637105917384588,0.33428056652002053,0.9198319941563184,"[[1802, 0, 655], [313, 0, 218], [1598, 0, 890]]",0.4853218421761379,0.7334147334147334,0.5841166936790924,0.0,0.0,0.0,0.5048213272830403,0.35771704180064307,0.41872500588096917,0.5768456283566277,0.940241226436876,0.009617938814920554,0.48873382087426226,0.9729895523474726,0.6780496712929145,0.0,0.32195032870708545,0.44868517165814464,0.09696859021183346,0.4543462381300219,1.0,0.8968227972486079,0.0,18,0.18166957001314538,0.18053468870107664,0.08478688715042368,15.450949359935729,1.0,0.05724670750948191,0.9444444444444444,1.0,INCUMBENT_ORDINAL_T2_DEV,REV2_RO_04
5481,0.49388797664659734,0.37526128166733813,0.10229528902393899,0.3289481811730373,0.37526128166733813,0.34784573662179225,0.8901660280970626,"[[1595, 0, 803], [318, 0, 351], [1302, 0, 1112]]",0.49611197511664074,0.6651376146788991,0.5683235346517015,0.0,0.0,0.0,0.4907325684024713,0.46064623032311514,0.47521367521367525,0.59000338051559,0.9683015545883215,0.015871914899174167,0.4780160617474232,0.9753828546632587,0.5865717934683452,0.0,0.4134282065316548,0.4375114030286444,0.12205801860974275,0.44043057836161287,1.0,0.8985245901639344,0.0,18,0.18106793386796147,0.20970319737324522,0.11435282907240567,11.418164731016628,0.8888888888888888,0.05128410345337506,0.8888888888888888,1.0,INCUMBENT_ORDINAL_T2_DEV,REV2_RO_05
5415,0.47331486611265006,0.3649757844295894,0.08104067053204739,0.3228044708060034,0.3649757844295894,0.32820442523975163,0.9168975069252078,"[[830, 0, 1500], [180, 0, 559], [613, 0, 1733]]",0.5113986444855206,0.3562231759656652,0.4199342271692385,0.0,0.0,0.0,0.45701476793248946,0.7387041773231031,0.5646790485500164,0.6022527836573289,0.9902493614179242,0.016414134742432033,0.4782791208827507,0.9753735506820069,0.2997229916897507,0.0,0.7002770083102493,0.43028624192059095,0.13647276084949214,0.4332409972299169,1.0,0.8931222167243938,0.0,17,0.16715398978711407,0.2062464300570739,0.10676714221211067,11.289658383447133,0.9411764705882353,0.030243896689132833,0.8235294117647058,0.9444444444444444,INCUMBENT_ORDINAL_T2_DEV,REV2_RO_06
5859,0.10530807305000853,0.3333333333333333,0.0,0.03510269101666951,0.3333333333333333,0.06351657401688285,0.8946919269499914,"[[0, 2610, 0], [0, 617, 0], [0, 2632, 0]]",0.0,0.0,0.0,0.10530807305000853,1.0,0.19054972205064855,0.0,0.0,0.0,1.7893838538999767,30.901564407257514,0.8946919269499896,0.9999999999999981,7.129799883907156e-14,0.0,1.0,0.0,0.445468509984639,0.10530807305000853,0.44922341696535245,1.0,0.9451524439425714,0.0,0,,,,,,,,1.0,NAIVE_NEUTRAL,REV2_RO_01
5540,0.10722021660649819,0.3333333333333333,0.0,0.035740072202166066,0.3333333333333333,0.06455820019563091,0.8927797833935018,"[[0, 2458, 0], [0, 594, 0], [0, 2488, 0]]",0.0,0.0,0.0,0.10722021660649819,1.0,0.19367460058689273,0.0,0.0,0.0,1.7855595667869977,30.83552130852495,0.8927797833934998,0.999999999999998,7.129799883907155e-14,0.0,1.0,0.0,0.44368231046931406,0.10722021660649819,0.4490974729241877,1.0,0.8974566661266807,0.0,0,,,,,,,,1.0,NAIVE_NEUTRAL,REV2_RO_02
5511,0.11395391036109599,0.3333333333333333,0.0,0.037984636787032,0.3333333333333333,0.06819786067220503,0.886046089638904,"[[0, 2433, 0], [0, 628, 0], [0, 2450, 0]]",0.0,0.0,0.0,0.11395391036109599,1.0,0.20459358201661507,0.0,0.0,0.0,1.7720921792778022,30.602947765623092,0.886046089638902,0.999999999999998,7.129799883907155e-14,0.0,1.0,0.0,0.44148067501360916,0.11395391036109599,0.44456541462529486,1.0,0.8985814446437307,0.0,0,,,,,,,,1.0,NAIVE_NEUTRAL,REV2_RO_03
5476,0.09696859021183346,0.3333333333333333,0.0,0.03232286340394449,0.3333333333333333,0.058931246878641576,0.9030314097881665,"[[0, 2457, 0], [0, 531, 0], [0, 2488, 0]]",0.0,0.0,0.0,0.09696859021183346,1.0,0.17679374063592473,0.0,0.0,0.0,1.806062819576327,31.189599940254435,0.9030314097881645,0.999999999999998,7.129799883907155e-14,0.0,1.0,0.0,0.44868517165814464,0.09696859021183346,0.4543462381300219,1.0,0.8968227972486079,0.0,0,,,,,,,,1.0,NAIVE_NEUTRAL,REV2_RO_04
