scored_rows,mcc,brier,mean_weekly_spearman_ic,weekly_ic_count,baseline_id
33282,0.07356440832166648,0.5896104508199045,0.14137082795344136,109,INCUMBENT_ORDINAL_T2_DEV
33282,0.0,1.77297037437654,,0,NAIVE_NEUTRAL
33282,0.0,0.5946211488956133,,0,NAIVE_PRIOR


