model_id,fold_id,samples,mse,mae,rmse,mape,accuracy,precision,recall,f1,mcc
frets_return_l4__fixed_shrink_a075,E_RO_01,1500,0.0012156645417027217,0.026317544750946848,0.034866381253332294,58.023421249352396,0.568,0.5683890577507599,0.2698412698412698,0.3659491193737769,0.11311086883875915
frets_return_l4__fixed_shrink_a075,E_RO_02,1500,0.0024516758087925355,0.034369569351547356,0.049514400014465845,29.103143206667543,0.5606666666666666,0.4209558823529412,0.39965095986038396,0.41002685765443153,0.06048081437333734
frets_return_l4__fixed_shrink_a075,E_RO_03,1500,0.0026767409639523693,0.035034383235712646,0.05173722996017828,45.46241236509348,0.5193333333333333,0.4783783783783784,0.251063829787234,0.3293023255813953,0.009605826679691782
naive,E_RO_01,1500,0.0012621601723408953,0.02687292089534453,0.03552689364890906,0.97,0.462,0.462,1.0,0.6320109439124487,0.0
naive,E_RO_02,1500,0.002470060914097246,0.03474147395137693,0.04969970738442275,0.978,0.382,0.382,1.0,0.552821997105644,0.0
naive,E_RO_03,1500,0.0026842337006192183,0.035149636798654633,0.05180959081694449,0.976,0.47,0.47,1.0,0.6394557823129251,0.0
stock_node_gwnet_feature_mask_l8,E_RO_01,1500,0.0012011561107531353,0.02599749937284889,0.034657699155499856,84.39474030004932,0.5793333333333334,0.6614583333333334,0.18326118326118326,0.28700564971751413,0.15328046262850992
stock_node_gwnet_feature_mask_l8,E_RO_02,1500,0.0024555789619661603,0.033561914441408554,0.04955379866333317,118.9681136186048,0.6,0.3411764705882353,0.0506108202443281,0.08814589665653495,-0.020592822352860297
stock_node_gwnet_feature_mask_l8,E_RO_03,1500,0.002755800570007318,0.035321897822005316,0.05249571953985694,61.07636977172554,0.52,0.48484848484848486,0.3404255319148936,0.39999999999999997,0.02087924762402217
stock_node_gwnet_fixed_industry_l8,E_RO_01,1500,0.0012018006567517604,0.026008185741142328,0.03466699665029782,82.25529288839746,0.5753333333333334,0.6458333333333334,0.17893217893217894,0.280225988700565,0.14127290601984244
stock_node_gwnet_fixed_industry_l8,E_RO_02,1500,0.002447356812809136,0.03354873873510705,0.049470767255108704,99.7754347553964,0.602,0.34615384615384615,0.04712041884816754,0.08294930875576037,-0.017278822708802714
stock_node_gwnet_fixed_industry_l8,E_RO_03,1500,0.002754458564191136,0.03530795083408395,0.05248293593341684,61.584519067692,0.5186666666666667,0.48123620309050774,0.30921985815602837,0.3765112262521589,0.014808411585988604
stock_node_gwnet_noise_aug_l8,E_RO_01,1500,0.0012022184138659148,0.026016020247130615,0.034673021412416814,81.60904747510752,0.5753333333333334,0.648936170212766,0.17604617604617603,0.27695800227014755,0.14193621589486474
stock_node_gwnet_noise_aug_l8,E_RO_02,1500,0.0024522052112249905,0.033537969380073834,0.049519745670035406,117.92671552733638,0.6006666666666667,0.3488372093023256,0.05235602094240838,0.09104704097116845,-0.016832540645350124
stock_node_gwnet_noise_aug_l8,E_RO_03,1500,0.002754180502460336,0.03530485622386909,0.052480286798571675,61.287288269139495,0.52,0.48337028824833705,0.30921985815602837,0.3771626297577855,0.017565253963824363
stock_node_gwnet_tail_weighted_l8,E_RO_01,1500,0.0012024081939171394,0.026045701273290093,0.034675758015033205,102.43271157608139,0.6026666666666667,0.6157517899761337,0.3722943722943723,0.4640287769784173,0.19200043799360897
stock_node_gwnet_tail_weighted_l8,E_RO_02,1500,0.0024752248680189924,0.03397889540041793,0.04975163181262492,67.40691961524396,0.5866666666666667,0.40711462450592883,0.17975567190226877,0.24939467312348673,0.023282403102208665
stock_node_gwnet_tail_weighted_l8,E_RO_03,1500,0.002772148982978073,0.03552662220298463,0.0526512011541814,64.89513143071095,0.5026666666666667,0.4752116082224909,0.5574468085106383,0.5130548302872063,0.011575243067693525
