model_id,stock_code,samples,mse,mae,rmse,mape,accuracy,precision,recall,f1,mcc
frets_return_l4__fixed_shrink_a075,000004.SZ,45,0.003895611084549592,0.04282005257037877,0.06241483064584564,126.30470895120523,0.4222222222222222,0.8181818181818182,0.2727272727272727,0.4090909090909091,0.10913546327250562
frets_return_l4__fixed_shrink_a075,000005.SZ,45,0.005029497200327462,0.040717425289201616,0.07091894810505485,49.0207191585243,0.5555555555555556,0.3076923076923077,0.26666666666666666,0.28571428571428575,-0.03466876226407682
frets_return_l4__fixed_shrink_a075,000007.SZ,45,0.004836124170061347,0.045020424081788676,0.06954224737568773,0.9569762025054698,0.6222222222222222,0.3076923076923077,0.3333333333333333,0.32,0.05913123959890826
frets_return_l4__fixed_shrink_a075,000008.SZ,45,0.0008873616276297499,0.02492659516606682,0.029788615738730623,0.9946118712208963,0.5555555555555556,0.4166666666666667,0.2777777777777778,0.33333333333333337,0.020515248496555456
frets_return_l4__fixed_shrink_a075,000009.SZ,45,0.0008685594389259384,0.02416833758599947,0.029471332493220228,1.0204910296998013,0.4,0.36363636363636365,0.16666666666666666,0.2285714285714286,-0.19347649748797371
frets_return_l4__fixed_shrink_a075,000010.SZ,45,0.001709517072046712,0.031112066609784925,0.0413463066312665,69.25836594639648,0.5555555555555556,0.17647058823529413,0.3333333333333333,0.23076923076923078,-0.045834924851410566
frets_return_l4__fixed_shrink_a075,000011.SZ,45,0.0010964845109408873,0.028259543573949455,0.03311320750004275,1.0035917864728106,0.6222222222222222,0.5454545454545454,0.3333333333333333,0.41379310344827586,0.1688801323682996
frets_return_l4__fixed_shrink_a075,000014.SZ,45,0.0017793549784387486,0.031314837303943896,0.04218240128820014,0.9103686893481545,0.7555555555555555,0.7333333333333333,0.6111111111111112,0.6666666666666666,0.4811252243246881
frets_return_l4__fixed_shrink_a075,000017.SZ,45,0.0009422919739940153,0.023841027764137775,0.030696774651321517,136.77853762326646,0.4666666666666667,0.5,0.25,0.3333333333333333,-0.040291148201269014
frets_return_l4__fixed_shrink_a075,000020.SZ,45,0.0020370606495886292,0.02979201902894091,0.04513380827704028,0.98893802725221,0.4444444444444444,0.4444444444444444,0.16666666666666666,0.24242424242424243,-0.0890870806374748
frets_return_l4__fixed_shrink_a075,000023.SZ,45,0.0028311349189458386,0.04229031303030851,0.053208410227574346,0.9690274465960755,0.7111111111111111,0.26666666666666666,0.6666666666666666,0.3809523809523809,0.2773500981126146
frets_return_l4__fixed_shrink_a075,000025.SZ,45,0.0008227665952642217,0.02146895008886019,0.028683908298281487,1.1993779282267478,0.4444444444444444,0.25,0.09523809523809523,0.13793103448275862,-0.20194517395039002
frets_return_l4__fixed_shrink_a075,000030.SZ,45,0.0004944387479766927,0.01789754652612219,0.0222359786826821,41.92274820637556,0.6222222222222222,0.7692307692307693,0.4166666666666667,0.5405405405405406,0.3013818905575515
frets_return_l4__fixed_shrink_a075,000034.SZ,45,0.004194276517854631,0.05128476691703928,0.06476323430662362,1.1608602605604894,0.35555555555555557,0.5714285714285714,0.13333333333333333,0.21621621621621623,-0.086710996952412
frets_return_l4__fixed_shrink_a075,000035.SZ,45,0.0005846985453262738,0.020658328481820466,0.02418054063345718,183.07046761932588,0.5555555555555556,0.5454545454545454,0.2857142857142857,0.37499999999999994,0.08982837383370208
frets_return_l4__fixed_shrink_a075,000036.SZ,45,0.0005416636891441388,0.019982606503698517,0.023273669438748562,0.9895822202610355,0.4888888888888889,0.4444444444444444,0.38095238095238093,0.41025641025641024,-0.036369648372665396
frets_return_l4__fixed_shrink_a075,000037.SZ,45,0.0013266603186863177,0.02776352700441035,0.03642334853752902,1.0350976749315757,0.4,0.36363636363636365,0.16666666666666666,0.2285714285714286,-0.19347649748797371
frets_return_l4__fixed_shrink_a075,000040.SZ,45,0.00216334732978094,0.03719649569700571,0.04651179774832338,0.966888604345671,0.5777777777777777,0.45454545454545453,0.2777777777777778,0.3448275862068966,0.06333004963811235
frets_return_l4__fixed_shrink_a075,000046.SZ,45,0.003580262645475412,0.04901215341847595,0.05983529598385398,120.10722465923102,0.6222222222222222,0.5333333333333333,0.4444444444444444,0.4848484848484848,0.19245008972987526
frets_return_l4__fixed_shrink_a075,000048.SZ,45,0.0034406494187748846,0.04158346157831445,0.05865704918230105,1.0114969103525173,0.37777777777777777,0.18181818181818182,0.09523809523809523,0.125,-0.32476412078338446
frets_return_l4__fixed_shrink_a075,000049.SZ,45,0.0009420910865308558,0.024118732595686854,0.030693502350348612,0.9571045083720334,0.5111111111111111,0.375,0.3333333333333333,0.35294117647058826,-0.03790490217894517
frets_return_l4__fixed_shrink_a075,000056.SZ,45,0.0021299848425872,0.03379192098768218,0.046151758824417514,0.9658044604126782,0.6222222222222222,0.2777777777777778,0.5555555555555556,0.3703703703703704,0.15876322406928006
frets_return_l4__fixed_shrink_a075,000058.SZ,45,0.0012950780452613813,0.027205607727713233,0.03598719279495667,223.6626084146809,0.6222222222222222,0.7333333333333333,0.4583333333333333,0.5641025641025641,0.2834733547569204
frets_return_l4__fixed_shrink_a075,000059.SZ,45,0.0020935195313591167,0.038997306620391664,0.045754994605606905,1.0115199126661643,0.5555555555555556,0.375,0.16666666666666666,0.23076923076923078,-0.023728949893812475
frets_return_l4__fixed_shrink_a075,000068.SZ,45,0.001511202020190758,0.03006502163674057,0.03887418192310622,235.69540887375547,0.5333333333333333,0.25,0.2,0.22222222222222224,-0.10660035817780521
frets_return_l4__fixed_shrink_a075,000070.SZ,45,0.009212335440966033,0.07462561481645223,0.09598091185733772,0.9705937882812198,0.4888888888888889,0.5555555555555556,0.20833333333333334,0.30303030303030304,0.0222717701593687
frets_return_l4__fixed_shrink_a075,000078.SZ,45,0.0002929406496288326,0.013539629227145425,0.017115509037969996,53.348394306870794,0.5777777777777777,0.6923076923076923,0.375,0.48648648648648646,0.20310518711487166
frets_return_l4__fixed_shrink_a075,000100.SZ,45,0.0020180756649857056,0.03616011947289933,0.04492299706147961,1.082919031030241,0.4444444444444444,0.5833333333333334,0.25925925925925924,0.358974358974359,-0.020515248496555456
frets_return_l4__fixed_shrink_a075,000156.SZ,45,0.002584788700499031,0.04016248624021596,0.05084081726820519,1.0675211631829622,0.4,0.8,0.13333333333333333,0.2285714285714286,0.1
frets_return_l4__fixed_shrink_a075,000403.SZ,45,0.0019741028796874706,0.03561519889109245,0.044430877548023634,1.0961947280842992,0.6222222222222222,0.5263157894736842,0.5555555555555556,0.5405405405405405,0.22041550751119351
frets_return_l4__fixed_shrink_a075,000408.SZ,45,0.0007491969182423202,0.023575761486750255,0.02737146174836704,0.9777818972437339,0.5333333333333333,0.5,0.19047619047619047,0.27586206896551724,0.031068488300060003
frets_return_l4__fixed_shrink_a075,000409.SZ,45,0.005534095712476838,0.043226078035594445,0.07439150295885168,1.0067914997178729,0.6666666666666666,0.6153846153846154,0.4444444444444444,0.5161290322580646,0.2802242691589025
frets_return_l4__fixed_shrink_a075,000410.SZ,45,0.004003345069305184,0.043508567486423955,0.06327199277172471,0.9824890908248695,0.5333333333333333,0.8,0.4,0.5333333333333333,0.2
frets_return_l4__fixed_shrink_a075,000413.SZ,45,0.0005603154814371046,0.01836362255530221,0.023670983955828805,105.13348782076748,0.6,0.75,0.375,0.5,0.2618924633082486
frets_return_l4__fixed_shrink_a075,000415.SZ,45,0.0005752787050294459,0.020003226925877596,0.0239849683141222,153.15669688841248,0.4,0.4,0.25,0.3076923076923077,-0.1889822365046136
frets_return_l4__fixed_shrink_a075,000422.SZ,45,0.0009329346544824745,0.024078798881317986,0.030543979021772433,0.9626508195814515,0.6222222222222222,0.5333333333333333,0.4444444444444444,0.4848484848484848,0.19245008972987526
frets_return_l4__fixed_shrink_a075,000430.SZ,45,0.0019293879913245449,0.035318919530578134,0.04392479927472116,1.311814647794237,0.5777777777777777,0.46153846153846156,0.3333333333333333,0.3870967741935484,0.08006407690254357
frets_return_l4__fixed_shrink_a075,000488.SZ,45,0.0004808203521313952,0.018643303456742064,0.021927616198104963,1.0885201687566033,0.4666666666666667,0.2,0.1111111111111111,0.14285714285714285,-0.2182178902359924
frets_return_l4__fixed_shrink_a075,000504.SZ,45,0.003824528608329949,0.04325520307821632,0.061842773291064086,69.13707655789952,0.6,0.6666666666666666,0.2857142857142857,0.4,0.20044593143431827
frets_return_l4__fixed_shrink_a075,000505.SZ,45,0.0004952925099421092,0.019075073070254966,0.022255168162521467,1.015758678187865,0.6444444444444445,0.7272727272727273,0.38095238095238093,0.5,0.29712462114224536
frets_return_l4__fixed_shrink_a075,000506.SZ,45,0.0021180972529484996,0.033758763806609804,0.04602279058193342,0.961593143795387,0.5555555555555556,0.5714285714285714,0.19047619047619047,0.2857142857142857,0.09012760973486356
frets_return_l4__fixed_shrink_a075,000507.SZ,45,0.0003778495814027415,0.017362283157288164,0.019438353361402337,0.9988826038397669,0.6,0.7142857142857143,0.4166666666666667,0.5263157894736842,0.24375005275062306
frets_return_l4__fixed_shrink_a075,000509.SZ,45,0.0010021531661833967,0.028743559340040876,0.03165680284209694,1.0068803080824753,0.5111111111111111,0.375,0.3333333333333333,0.35294117647058826,-0.03790490217894517
frets_return_l4__fixed_shrink_a075,000514.SZ,45,0.0014013403246828369,0.031081848722209926,0.03743448042490822,0.8974046120847942,0.7555555555555555,0.9333333333333333,0.5833333333333334,0.7179487179487181,0.5669467095138409
frets_return_l4__fixed_shrink_a075,000516.SZ,45,0.0017440863686859268,0.03428050736676792,0.041762260100309784,1.1712685330304882,0.5111111111111111,0.6,0.25,0.35294117647058826,0.07142857142857142
frets_return_l4__fixed_shrink_a075,000517.SZ,45,0.001927557096652418,0.031514846113148205,0.04390395308685105,0.9994131167577822,0.6,0.5,0.3333333333333333,0.4,0.12309149097933272
frets_return_l4__fixed_shrink_a075,000518.SZ,45,0.0003359418145054909,0.015253082110494727,0.01832871557162397,1.0429161437913559,0.4888888888888889,0.25,0.26666666666666666,0.2580645161290323,-0.13130643285972254
frets_return_l4__fixed_shrink_a075,000520.SZ,45,0.0005536627959113204,0.018092351861479138,0.02353004028707389,28.078437025237854,0.6,0.5,0.3888888888888889,0.43750000000000006,0.1371758152921836
frets_return_l4__fixed_shrink_a075,000525.SZ,45,0.005850459232749152,0.06028400512683823,0.07648829474337333,0.995077093364539,0.5555555555555556,0.4375,0.3888888888888889,0.411764705882353,0.05685735326841775
frets_return_l4__fixed_shrink_a075,000526.SZ,45,0.007344877337622534,0.06265905994740831,0.08570225981631134,1.092498340810395,0.5777777777777777,0.5833333333333334,0.3333333333333333,0.4242424242424242,0.14101901870444156
frets_return_l4__fixed_shrink_a075,000533.SZ,45,0.0008097998499983475,0.02156725784233353,0.02845698244716659,21.33916262430131,0.4444444444444444,0.23076923076923078,0.16666666666666666,0.1935483870967742,-0.22017621148199482
frets_return_l4__fixed_shrink_a075,000536.SZ,45,0.002203228714884483,0.036048707651853945,0.046938563195782664,129.73654996616966,0.5555555555555556,0.5384615384615384,0.3333333333333333,0.41176470588235287,0.09172492321316784
frets_return_l4__fixed_shrink_a075,000537.SZ,45,0.0007765300349683543,0.022526695171189978,0.027866288503644584,0.9919532482910167,0.5777777777777777,0.45454545454545453,0.2777777777777778,0.3448275862068966,0.06333004963811235
frets_return_l4__fixed_shrink_a075,000544.SZ,45,0.0017095617001451377,0.031249245357078785,0.04134684631438216,0.9759497557712262,0.6444444444444445,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.36262033381142117
frets_return_l4__fixed_shrink_a075,000545.SZ,45,0.00058755635523449,0.01755567580047576,0.02423956177892847,118.80588863047332,0.4888888888888889,0.5384615384615384,0.2916666666666667,0.3783783783783784,0.006551780229511989
frets_return_l4__fixed_shrink_a075,000548.SZ,45,0.0007438787654795601,0.021508820766919328,0.02727414096684917,1.0345319874662202,0.6,0.3125,0.4166666666666667,0.35714285714285715,0.07698522025642997
frets_return_l4__fixed_shrink_a075,000550.SZ,45,0.0010474995856275154,0.024106337695977493,0.03236509826383222,257.42651275591385,0.5111111111111111,0.35714285714285715,0.2777777777777778,0.31250000000000006,-0.058789635125221534
frets_return_l4__fixed_shrink_a075,000552.SZ,45,0.0005501294895887126,0.019538550553584617,0.023454839363950302,13.757289045637805,0.4888888888888889,0.5294117647058824,0.375,0.4390243902439025,-0.006124949469375316
