model_id,overall_mae,overall_rmse,worst_fold_mae,stocks_below_naive_mae,maximum_stock_mae,industries_below_naive_mae,information_technology_mae,mid_cap_mae,d1_mae,d10_mae,tail_mean_mae,seed_mae_cv,minimum_pairwise_pearson,minimum_pairwise_spearman,prediction_seed_std_mean,prediction_seed_std_p95,total_training_seconds,total_duration_seconds,maximum_parameter_count,inference_receipt_count,recorded_inference_seconds,independent_load_max_abs_difference,gate_source_contract,gate_overall_mae,gate_overall_rmse,gate_worst_fold_count,gate_worst_fold_mae,gate_stock_count,gate_stock_below_naive_count,gate_stock_max_mae,gate_industry_count,gate_industry_below_naive_count,gate_all_industries_within_baselines,gate_information_technology,gate_market_cap_groups,gate_market_cap_below_naive_count,gate_all_market_caps_within_baselines,gate_mid_cap,gate_tail_groups,gate_d1_mae,gate_d10_mae,gate_tail_mean_mae,gate_seed_count,gate_seed_mae_cv,gate_seed_pair_count,gate_pairwise_pearson,gate_pairwise_spearman,gate_seed_std_mean,gate_seed_std_p95,gate_cost_receipts,gate_training_seconds,gate_duration_seconds,gate_parameter_count,gate_independent_load,gate_inference_receipts,gate_inference_seconds,failed_gate_count,eligible
industry_var1_ridge,0.0333430418222301,0.0471153287284468,0.036731581584792,30,0.0861421942726076,2,0.0415009499781431,0.0352317910931161,0.0845035486773572,0.0803335669461605,0.08241855781175886,0.0,1.0,1.0,0.0,0.0,0.0,0.2084189999914082,182.0,0,0.0,0.0,True,False,False,True,False,True,False,False,True,False,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,11,False
lstm_price_l8,0.0320324651171297,0.0464296985453024,0.0355284042331622,65,0.084547022737873,8,0.0422593005832261,0.0336794148801718,0.0763739230706252,0.0884624529702381,0.08241818802043165,0.0029972896615627,0.5734175734168907,0.5405082224480989,0.0021487356541217,0.0065158993299337,72.41615439999805,76.31850769999801,5153.0,9,0.0053901000028414,1.760062318112432e-09,True,False,True,True,False,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,9,False
minimalist_price_only_l8,0.0316813670251155,0.0461943062821815,0.0354856127344925,70,0.0848054757083041,9,0.0419443155630249,0.0334374625885291,0.0752525155949923,0.0890226483766713,0.08213758198583179,0.0046582102907269,0.6142067211585746,0.632631214502762,0.0026001542604496,0.0050866899744534,129.32836279999174,129.4438794000016,9121.0,0,0.0,0.0,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,False,7,False
random_forest_price_l12,0.0326920787214699,0.0466431904610297,0.0355619088599122,40,0.08622149547905,1,0.0423896970232813,0.0346151659540667,0.0828736865705035,0.0818738180817513,0.0823737523261274,0.0004551674462426,0.9493566505679532,0.9292266281007237,0.0006050300830891,0.0015776602565726,49.92270389999976,50.22676589999173,26048.0,0,0.0,0.0,True,False,False,True,False,True,False,False,True,False,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,11,False
stock_node_gwnet_fixed_industry_l8,0.0316216251034444,0.0462010679304855,0.0353079508340839,78,0.0817119174171239,11,0.0426725820537633,0.0333654784400294,0.074004659694102,0.0906935366481128,0.0823490981711074,0.0017033715963137,0.8442759337956861,0.8077249243221887,0.001422287748283,0.0033532117636549,32.34518179999577,32.44996439999886,15777.0,9,0.0167550999940427,3.120730340810951e-09,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True
svm_rbf_price_l12,0.0365918876841654,0.0520175087108104,0.0415539469279309,28,0.1039611507599228,0,0.04663328842813,0.0375235513317847,0.0740777559580391,0.0882603209074448,0.08116903843274195,0.0,1.0,1.0,0.0,0.0,195.0859853999973,197.80516039999569,10920.0,0,0.0,0.0,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,15,False
tcn_price_l8,0.0317287128126351,0.0467129443251319,0.0349555930713734,68,0.0878551189968776,9,0.0424716540971586,0.0334732049042499,0.0756595487465771,0.088902430526343,0.08228098963646005,0.0029819171511301,0.5249245190626292,0.4838214452539757,0.0038375278602952,0.0088065886557584,219.5729212999977,219.78632909999575,9761.0,9,0.0204617999988836,3.301206419337177e-09,True,True,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,9,False
timegnn_deterministic_topk_l8,0.0320025303791173,0.0464761423968749,0.035417762379744,57,0.083710414243655,8,0.0427310537040969,0.0336728949906062,0.0750586718157865,0.0892982936262462,0.08217848272101635,0.0039097434422757,0.5538818991958525,0.546822881254614,0.0031791320106732,0.0068201221677182,257.9589344000051,258.0708510000004,11809.0,9,0.0180998000032554,3.363351375185175e-09,True,False,False,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,11,False
